seq,time_stamp,frame_id,px,py,pz,qx,qy,qz,qw
seq,time_stamp,frame_id,px,py,pz,qx,qy,qz,qw
seq,time_stamp,frame_id,px,py,pz,qx,qy,qz,qw
505,1666963269507456154,base_link,0.015519922599196434,0.07646448165178299,0.9393692016601562,0.9908110413798635,0.07839274851627707,-0.02245406962993945,0.10790677465695987
506,1666963269541025154,base_link,0.015542916022241116,0.07659609615802765,0.938335657119751,0.9964932500053142,0.07910026009216095,0.014777140573420706,-0.02293442093605857
507,1666963269574169154,base_link,0.015550690703094006,0.07653409987688065,0.9377026557922363,0.9964293253032623,0.07929457890500907,0.01909516818718861,-0.02182530604288719
508,1666963269607564154,base_link,0.015534866601228714,0.07659795135259628,0.9387619495391846,0.9964619935403431,0.07874201598818538,0.018207143066230305,-0.02305841037642173
509,1666963269641087154,base_link,0.015557653270661831,0.07659896463155746,0.9384962320327759,0.9964892496592689,0.07910300036426315,0.022322015795223332,-0.01592539662666461
510,1666963269674468154,base_link,0.015535343438386917,0.0765913724899292,0.9383725523948669,0.9965044640151831,0.07898167984853846,0.018780016234855756,-0.019699198875442966
511,1666963269707555154,base_link,0.015544010326266289,0.07664084434509277,0.9389005303382874,0.9965167602440042,0.07900123202300675,0.01916937062096364,-0.018592663113098595
512,1666963269741240154,base_link,0.015556578524410725,0.0765710324048996,0.9380092024803162,0.9964298432173815,0.07927011389174272,0.023232847409673667,-0.017437069438801245
513,1666963269774424154,base_link,0.015546857379376888,0.07658030837774277,0.938093364238739,0.9964232443332752,0.07917887778403826,0.020831442321609293,-0.02091589051444245
514,1666963269807665154,base_link,0.015550518408417702,0.07666029781103134,0.9394503235816956,0.9966057568111099,0.07888237923046271,0.016828510972014824,-0.016472308774465278
515,1666963269841219154,base_link,0.015503184869885445,0.07647237926721573,0.9387295246124268,0.9913088874665291,0.07911492492463215,-0.0212750195564784,0.10293149093894216
